pid	username	comm	cputimes	rss	vsz	thcount	etimes	bdstart	args	snapshot_time_epoch	snapshot_datetime	host	ppid
4109048	rstudio-server	rserver	7233	9360	192216	4	4135324	Feb 8	/usr/lib/rstudio-server/bin/rserver	1711569941	2024-03-27 13:05:41	tdobz	1
3764586	drivera	elprep	58044	91062052	125518548	69	3681	12:04	elprep filter Cen_henslowii_FL/bams/HESP52/Cen_henslowii_FL_HESP52_merged.bam Cen_henslowii_FL/bams/HESP52/Cen_henslowii_FL_HESP52_merged.recal.bam --bqsr Cen_henslowii_FL/bams/HESP52/Cen_henslowii_FL_HESP52_merged.recal --quantize-levels 0 --max-cycle 500 --haplotypecaller Cen_henslowii_FL/vcfs/HESP52/Cen_henslowii_FL_HESP52_merged.vcf.gz --reference-confidence GVCF --assembly-region-padding 100 --reference Reference/Psandwichensis.elfasta --sorting-order keep --nr-of-threads 64	1711569941	2024-03-27 13:05:41	tdobz	3764058
3764585	drivera	elprep	66693	114439388	145751396	69	3681	12:04	elprep filter Cen_henslowii_FL/bams/HESP53/Cen_henslowii_FL_HESP53_merged.bam Cen_henslowii_FL/bams/HESP53/Cen_henslowii_FL_HESP53_merged.recal.bam --bqsr Cen_henslowii_FL/bams/HESP53/Cen_henslowii_FL_HESP53_merged.recal --quantize-levels 0 --max-cycle 500 --haplotypecaller Cen_henslowii_FL/vcfs/HESP53/Cen_henslowii_FL_HESP53_merged.vcf.gz --reference-confidence GVCF --assembly-region-padding 100 --reference Reference/Psandwichensis.elfasta --sorting-order keep --nr-of-threads 64	1711569941	2024-03-27 13:05:41	tdobz	3764058
3764199	drivera	elprep	44028	73540124	94633316	70	3816	12:02	elprep filter Cen_henslowii_FL/bams/HESP54/Cen_henslowii_FL_HESP54_merged.bam Cen_henslowii_FL/bams/HESP54/Cen_henslowii_FL_HESP54_merged.recal.bam --bqsr Cen_henslowii_FL/bams/HESP54/Cen_henslowii_FL_HESP54_merged.recal --quantize-levels 0 --max-cycle 500 --haplotypecaller Cen_henslowii_FL/vcfs/HESP54/Cen_henslowii_FL_HESP54_merged.vcf.gz --reference-confidence GVCF --assembly-region-padding 100 --reference Reference/Psandwichensis.elfasta --sorting-order keep --nr-of-threads 64	1711569941	2024-03-27 13:05:41	tdobz	3764058
3764187	drivera	elprep	77461	122885412	156672856	69	3816	12:02	elprep filter Cen_henslowii_FL/bams/HESP55/Cen_henslowii_FL_HESP55_merged.bam Cen_henslowii_FL/bams/HESP55/Cen_henslowii_FL_HESP55_merged.recal.bam --bqsr Cen_henslowii_FL/bams/HESP55/Cen_henslowii_FL_HESP55_merged.recal --quantize-levels 0 --max-cycle 500 --haplotypecaller Cen_henslowii_FL/vcfs/HESP55/Cen_henslowii_FL_HESP55_merged.vcf.gz --reference-confidence GVCF --assembly-region-padding 100 --reference Reference/Psandwichensis.elfasta --sorting-order keep --nr-of-threads 64	1711569941	2024-03-27 13:05:41	tdobz	3764058
3764186	drivera	elprep	71429	98345516	129021276	68	3816	12:02	elprep filter Cen_henslowii_FL/bams/HESP56/Cen_henslowii_FL_HESP56_merged.bam Cen_henslowii_FL/bams/HESP56/Cen_henslowii_FL_HESP56_merged.recal.bam --bqsr Cen_henslowii_FL/bams/HESP56/Cen_henslowii_FL_HESP56_merged.recal --quantize-levels 0 --max-cycle 500 --haplotypecaller Cen_henslowii_FL/vcfs/HESP56/Cen_henslowii_FL_HESP56_merged.vcf.gz --reference-confidence GVCF --assembly-region-padding 100 --reference Reference/Psandwichensis.elfasta --sorting-order keep --nr-of-threads 64	1711569941	2024-03-27 13:05:41	tdobz	3764058
3369915	sophos-spl-user	perf-sensor	859	42420	146508	4	571261	Mar 20	/opt/sophos-spl/plugins/runtimedetections/bin/perf-sensor	1711569941	2024-03-27 13:05:41	tdobz	3369707
3369707	sophos-spl-user	runtimedetectio	3659	72924	1376316	45	571262	Mar 20	/opt/sophos-spl/plugins/runtimedetections/bin/runtimedetections.1	1711569941	2024-03-27 13:05:41	tdobz	3369553
3369640	sophos-spl-user	runtimedetectio	89	4	160	1	571263	Mar 20	runtimedetections-trigger	1711569941	2024-03-27 13:05:41	tdobz	3369553
3369583	sophos-spl-local	python3	74	34884	649288	9	571263	Mar 20	/opt/sophos-spl/base/bin/python3 -m mcsrouter.mcs_router --no-daemon	1711569941	2024-03-27 13:05:41	tdobz	3369512
3369576	sophos-spl-updatescheduler	UpdateScheduler	27	9180	538108	6	571263	Mar 20	/opt/sophos-spl/base/bin/UpdateScheduler	1711569941	2024-03-27 13:05:41	tdobz	3369512
3369553	sophos-spl-user	runtimedetectio	183	43388	1304912	39	571263	Mar 20	/opt/sophos-spl/plugins/runtimedetections/bin/runtimedetections	1711569941	2024-03-27 13:05:41	tdobz	3369512
